team,over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,extras_type,wicket_kind,player_out,fielders
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,5,5,wides,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,0,V Kohli,MA Starc,PD Salt,1,0,1,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,1,V Kohli,AR Patel,PD Salt,4,0,4,,,,
Royal Challengers Bengaluru,1,V Kohli,AR Patel,PD Salt,0,0,0,,,,
Royal Challengers Bengaluru,1,V Kohli,AR Patel,PD Salt,1,0,1,,,,
Royal Challengers Bengaluru,1,PD Salt,AR Patel,V Kohli,6,0,6,,,,
Royal Challengers Bengaluru,1,PD Salt,AR Patel,V Kohli,4,0,4,,,,
Royal Challengers Bengaluru,1,PD Salt,AR Patel,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,6,0,6,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,4,0,4,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,4,0,4,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,4,1,5,noballs,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,6,0,6,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,0,1,1,legbyes,,,
Royal Challengers Bengaluru,2,V Kohli,MA Starc,PD Salt,0,4,4,legbyes,,,
Royal Challengers Bengaluru,3,PD Salt,AR Patel,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,3,PD Salt,AR Patel,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,3,V Kohli,AR Patel,PD Salt,6,0,6,,,,
Royal Challengers Bengaluru,3,V Kohli,AR Patel,PD Salt,1,0,1,,,,
Royal Challengers Bengaluru,3,PD Salt,AR Patel,V Kohli,0,0,0,,run out,PD Salt,"KL Rahul,V Nigam"
Royal Challengers Bengaluru,3,D Padikkal,AR Patel,V Kohli,0,1,1,wides,,,
Royal Challengers Bengaluru,3,D Padikkal,AR Patel,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,4,V Kohli,V Nigam,D Padikkal,1,0,1,,,,
Royal Challengers Bengaluru,4,D Padikkal,V Nigam,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,4,D Padikkal,V Nigam,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,4,D Padikkal,V Nigam,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,4,V Kohli,V Nigam,D Padikkal,0,0,0,,,,
Royal Challengers Bengaluru,4,V Kohli,V Nigam,D Padikkal,0,0,0,,,,
Royal Challengers Bengaluru,5,D Padikkal,Mukesh Kumar,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,5,D Padikkal,Mukesh Kumar,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,5,D Padikkal,Mukesh Kumar,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,5,D Padikkal,Mukesh Kumar,V Kohli,0,0,0,,caught,D Padikkal,AR Patel
Royal Challengers Bengaluru,5,RM Patidar,Mukesh Kumar,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,5,RM Patidar,Mukesh Kumar,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,6,V Kohli,V Nigam,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,6,RM Patidar,V Nigam,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,6,V Kohli,V Nigam,RM Patidar,6,0,6,,,,
Royal Challengers Bengaluru,6,V Kohli,V Nigam,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,6,RM Patidar,V Nigam,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,6,V Kohli,V Nigam,RM Patidar,0,0,0,,caught,V Kohli,MA Starc
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,LS Livingstone,0,0,0,,,,
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,LS Livingstone,2,0,2,,,,
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,LS Livingstone,6,0,6,,,,
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,LS Livingstone,0,0,0,,,,
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,LS Livingstone,1,0,1,,,,
Royal Challengers Bengaluru,7,LS Livingstone,AR Patel,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,8,LS Livingstone,Kuldeep Yadav,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,LS Livingstone,1,0,1,,,,
Royal Challengers Bengaluru,8,LS Livingstone,Kuldeep Yadav,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,8,LS Livingstone,Kuldeep Yadav,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,LS Livingstone,2,0,2,,,,
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,LS Livingstone,0,0,0,,,,
Royal Challengers Bengaluru,9,LS Livingstone,MM Sharma,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,9,RM Patidar,MM Sharma,LS Livingstone,1,0,1,,,,
Royal Challengers Bengaluru,9,LS Livingstone,MM Sharma,RM Patidar,0,0,0,,caught,LS Livingstone,Ashutosh Sharma
Royal Challengers Bengaluru,9,JM Sharma,MM Sharma,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,9,JM Sharma,MM Sharma,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,9,JM Sharma,MM Sharma,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,10,RM Patidar,MA Starc,JM Sharma,1,0,1,,,,
Royal Challengers Bengaluru,10,JM Sharma,MA Starc,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,10,JM Sharma,MA Starc,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,10,JM Sharma,MA Starc,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,10,RM Patidar,MA Starc,JM Sharma,1,0,1,,,,
Royal Challengers Bengaluru,10,JM Sharma,MA Starc,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,11,RM Patidar,MM Sharma,JM Sharma,1,0,1,,,,
Royal Challengers Bengaluru,11,JM Sharma,MM Sharma,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,11,RM Patidar,MM Sharma,JM Sharma,0,0,0,,,,
Royal Challengers Bengaluru,11,RM Patidar,MM Sharma,JM Sharma,4,0,4,,,,
Royal Challengers Bengaluru,11,RM Patidar,MM Sharma,JM Sharma,1,0,1,,,,
Royal Challengers Bengaluru,11,JM Sharma,MM Sharma,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,12,JM Sharma,Kuldeep Yadav,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,12,JM Sharma,Kuldeep Yadav,RM Patidar,0,0,0,,caught,JM Sharma,KL Rahul
Royal Challengers Bengaluru,12,KH Pandya,Kuldeep Yadav,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,12,KH Pandya,Kuldeep Yadav,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,12,RM Patidar,Kuldeep Yadav,KH Pandya,1,0,1,,,,
Royal Challengers Bengaluru,12,KH Pandya,Kuldeep Yadav,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,13,KH Pandya,Mukesh Kumar,RM Patidar,2,0,2,,,,
Royal Challengers Bengaluru,13,KH Pandya,Mukesh Kumar,RM Patidar,2,0,2,,,,
Royal Challengers Bengaluru,13,KH Pandya,Mukesh Kumar,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,13,RM Patidar,Mukesh Kumar,KH Pandya,1,0,1,,,,
Royal Challengers Bengaluru,13,KH Pandya,Mukesh Kumar,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,13,KH Pandya,Mukesh Kumar,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,14,KH Pandya,Kuldeep Yadav,RM Patidar,0,0,0,,,,
Royal Challengers Bengaluru,14,KH Pandya,Kuldeep Yadav,RM Patidar,4,0,4,,,,
Royal Challengers Bengaluru,14,KH Pandya,Kuldeep Yadav,RM Patidar,1,0,1,,,,
Royal Challengers Bengaluru,14,RM Patidar,Kuldeep Yadav,KH Pandya,0,0,0,,,,
Royal Challengers Bengaluru,14,RM Patidar,Kuldeep Yadav,KH Pandya,0,0,0,,caught,RM Patidar,KL Rahul
Royal Challengers Bengaluru,14,TH David,Kuldeep Yadav,KH Pandya,0,0,0,,,,
Royal Challengers Bengaluru,15,KH Pandya,V Nigam,TH David,1,0,1,,,,
Royal Challengers Bengaluru,15,TH David,V Nigam,KH Pandya,0,0,0,,,,
Royal Challengers Bengaluru,15,TH David,V Nigam,KH Pandya,1,0,1,,,,
Royal Challengers Bengaluru,15,KH Pandya,V Nigam,TH David,0,0,0,,,,
Royal Challengers Bengaluru,15,KH Pandya,V Nigam,TH David,0,0,0,,,,
Royal Challengers Bengaluru,15,KH Pandya,V Nigam,TH David,2,0,2,,,,
Royal Challengers Bengaluru,16,TH David,Kuldeep Yadav,KH Pandya,1,0,1,,,,
Royal Challengers Bengaluru,16,KH Pandya,Kuldeep Yadav,TH David,1,0,1,,,,
Royal Challengers Bengaluru,16,TH David,Kuldeep Yadav,KH Pandya,1,0,1,,,,
Royal Challengers Bengaluru,16,KH Pandya,Kuldeep Yadav,TH David,1,0,1,,,,
Royal Challengers Bengaluru,16,TH David,Kuldeep Yadav,KH Pandya,0,0,0,,,,
Royal Challengers Bengaluru,16,TH David,Kuldeep Yadav,KH Pandya,0,0,0,,,,
Royal Challengers Bengaluru,17,KH Pandya,V Nigam,TH David,0,0,0,,caught,KH Pandya,Ashutosh Sharma
Royal Challengers Bengaluru,17,B Kumar,V Nigam,TH David,0,0,0,,,,
Royal Challengers Bengaluru,17,B Kumar,V Nigam,TH David,0,0,0,,,,
Royal Challengers Bengaluru,17,B Kumar,V Nigam,TH David,1,0,1,,,,
Royal Challengers Bengaluru,17,TH David,V Nigam,B Kumar,1,0,1,,,,
Royal Challengers Bengaluru,17,B Kumar,V Nigam,TH David,0,0,0,,,,
Royal Challengers Bengaluru,18,TH David,AR Patel,B Kumar,6,0,6,,,,
Royal Challengers Bengaluru,18,TH David,AR Patel,B Kumar,4,0,4,,,,
Royal Challengers Bengaluru,18,TH David,AR Patel,B Kumar,0,0,0,,,,
Royal Challengers Bengaluru,18,TH David,AR Patel,B Kumar,6,0,6,,,,
Royal Challengers Bengaluru,18,TH David,AR Patel,B Kumar,0,0,0,,,,
Royal Challengers Bengaluru,18,TH David,AR Patel,B Kumar,1,0,1,,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,0,1,1,wides,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,6,0,6,,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,0,0,0,,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,6,0,6,,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,0,0,0,,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,0,1,1,wides,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,0,1,1,wides,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,0,0,0,,,,
Royal Challengers Bengaluru,19,TH David,Mukesh Kumar,B Kumar,4,0,4,,,,
Delhi Capitals,0,F du Plessis,B Kumar,J Fraser-McGurk,0,0,0,,,,
Delhi Capitals,0,F du Plessis,B Kumar,J Fraser-McGurk,0,0,0,,,,
Delhi Capitals,0,F du Plessis,B Kumar,J Fraser-McGurk,0,0,0,,,,
Delhi Capitals,0,F du Plessis,B Kumar,J Fraser-McGurk,1,0,1,,,,
Delhi Capitals,0,J Fraser-McGurk,B Kumar,F du Plessis,0,0,0,,,,
Delhi Capitals,0,J Fraser-McGurk,B Kumar,F du Plessis,0,0,0,,,,
Delhi Capitals,1,F du Plessis,Yash Dayal,J Fraser-McGurk,1,0,1,,,,
Delhi Capitals,1,J Fraser-McGurk,Yash Dayal,F du Plessis,4,0,4,,,,
Delhi Capitals,1,J Fraser-McGurk,Yash Dayal,F du Plessis,2,0,2,,,,
Delhi Capitals,1,J Fraser-McGurk,Yash Dayal,F du Plessis,1,0,1,,,,
Delhi Capitals,1,F du Plessis,Yash Dayal,J Fraser-McGurk,0,0,0,,,,
Delhi Capitals,1,F du Plessis,Yash Dayal,J Fraser-McGurk,0,0,0,,caught,F du Plessis,RM Patidar
Delhi Capitals,2,J Fraser-McGurk,B Kumar,Abishek Porel,0,1,1,wides,,,
Delhi Capitals,2,J Fraser-McGurk,B Kumar,Abishek Porel,0,0,0,,caught,J Fraser-McGurk,JM Sharma
Delhi Capitals,2,KL Rahul,B Kumar,Abishek Porel,0,0,0,,,,
Delhi Capitals,2,KL Rahul,B Kumar,Abishek Porel,4,0,4,,,,
Delhi Capitals,2,KL Rahul,B Kumar,Abishek Porel,1,0,1,,,,
Delhi Capitals,2,Abishek Porel,B Kumar,KL Rahul,2,0,2,,,,
Delhi Capitals,2,Abishek Porel,B Kumar,KL Rahul,4,0,4,,,,
Delhi Capitals,3,KL Rahul,Yash Dayal,Abishek Porel,0,1,1,wides,,,
Delhi Capitals,3,KL Rahul,Yash Dayal,Abishek Porel,0,0,0,,,,
Delhi Capitals,3,KL Rahul,Yash Dayal,Abishek Porel,2,0,2,,,,
Delhi Capitals,3,KL Rahul,Yash Dayal,Abishek Porel,4,0,4,,,,
Delhi Capitals,3,KL Rahul,Yash Dayal,Abishek Porel,1,0,1,,,,
Delhi Capitals,3,Abishek Porel,Yash Dayal,KL Rahul,0,0,0,,,,
Delhi Capitals,3,Abishek Porel,Yash Dayal,KL Rahul,1,0,1,,,,
Delhi Capitals,4,Abishek Porel,B Kumar,KL Rahul,0,0,0,,,,
Delhi Capitals,4,Abishek Porel,B Kumar,KL Rahul,0,0,0,,,,
Delhi Capitals,4,Abishek Porel,B Kumar,KL Rahul,0,0,0,,caught,Abishek Porel,JM Sharma
Delhi Capitals,4,AR Patel,B Kumar,KL Rahul,1,0,1,,,,
Delhi Capitals,4,KL Rahul,B Kumar,AR Patel,0,0,0,,,,
Delhi Capitals,4,KL Rahul,B Kumar,AR Patel,0,0,0,,,,
Delhi Capitals,5,AR Patel,JR Hazlewood,KL Rahul,1,0,1,,,,
Delhi Capitals,5,KL Rahul,JR Hazlewood,AR Patel,1,0,1,,,,
Delhi Capitals,5,AR Patel,JR Hazlewood,KL Rahul,4,0,4,,,,
Delhi Capitals,5,AR Patel,JR Hazlewood,KL Rahul,1,0,1,,,,
Delhi Capitals,5,KL Rahul,JR Hazlewood,AR Patel,1,0,1,,,,
Delhi Capitals,5,AR Patel,JR Hazlewood,KL Rahul,0,0,0,,,,
Delhi Capitals,6,KL Rahul,Suyash Sharma,AR Patel,0,0,0,,,,
Delhi Capitals,6,KL Rahul,Suyash Sharma,AR Patel,0,0,0,,,,
Delhi Capitals,6,KL Rahul,Suyash Sharma,AR Patel,0,0,0,,,,
Delhi Capitals,6,KL Rahul,Suyash Sharma,AR Patel,0,0,0,,,,
Delhi Capitals,6,KL Rahul,Suyash Sharma,AR Patel,2,0,2,,,,
Delhi Capitals,6,KL Rahul,Suyash Sharma,AR Patel,1,0,1,,,,
Delhi Capitals,7,KL Rahul,JR Hazlewood,AR Patel,1,0,1,,,,
Delhi Capitals,7,AR Patel,JR Hazlewood,KL Rahul,1,0,1,,,,
Delhi Capitals,7,KL Rahul,JR Hazlewood,AR Patel,1,0,1,,,,
Delhi Capitals,7,AR Patel,JR Hazlewood,KL Rahul,1,0,1,,,,
Delhi Capitals,7,KL Rahul,JR Hazlewood,AR Patel,6,0,6,,,,
Delhi Capitals,7,KL Rahul,JR Hazlewood,AR Patel,0,0,0,,,,
Delhi Capitals,8,AR Patel,Suyash Sharma,KL Rahul,0,0,0,,,,
Delhi Capitals,8,AR Patel,Suyash Sharma,KL Rahul,4,0,4,,,,
Delhi Capitals,8,AR Patel,Suyash Sharma,KL Rahul,2,0,2,,,,
Delhi Capitals,8,AR Patel,Suyash Sharma,KL Rahul,0,0,0,,caught,AR Patel,TH David
Delhi Capitals,8,T Stubbs,Suyash Sharma,KL Rahul,1,0,1,,,,
Delhi Capitals,8,KL Rahul,Suyash Sharma,T Stubbs,1,0,1,,,,
Delhi Capitals,9,KL Rahul,KH Pandya,T Stubbs,1,0,1,,,,
Delhi Capitals,9,T Stubbs,KH Pandya,KL Rahul,1,0,1,,,,
Delhi Capitals,9,KL Rahul,KH Pandya,T Stubbs,1,0,1,,,,
Delhi Capitals,9,T Stubbs,KH Pandya,KL Rahul,1,0,1,,,,
Delhi Capitals,9,KL Rahul,KH Pandya,T Stubbs,1,0,1,,,,
Delhi Capitals,9,T Stubbs,KH Pandya,KL Rahul,1,0,1,,,,
Delhi Capitals,10,T Stubbs,Suyash Sharma,KL Rahul,0,0,0,,,,
Delhi Capitals,10,T Stubbs,Suyash Sharma,KL Rahul,1,0,1,,,,
Delhi Capitals,10,KL Rahul,Suyash Sharma,T Stubbs,0,0,0,,,,
Delhi Capitals,10,KL Rahul,Suyash Sharma,T Stubbs,0,0,0,,,,
Delhi Capitals,10,KL Rahul,Suyash Sharma,T Stubbs,0,0,0,,,,
Delhi Capitals,10,KL Rahul,Suyash Sharma,T Stubbs,0,0,0,,,,
Delhi Capitals,11,T Stubbs,KH Pandya,KL Rahul,4,0,4,,,,
Delhi Capitals,11,T Stubbs,KH Pandya,KL Rahul,1,0,1,,,,
Delhi Capitals,11,KL Rahul,KH Pandya,T Stubbs,6,0,6,,,,
Delhi Capitals,11,KL Rahul,KH Pandya,T Stubbs,1,0,1,,,,
Delhi Capitals,11,T Stubbs,KH Pandya,KL Rahul,0,0,0,,,,
Delhi Capitals,11,T Stubbs,KH Pandya,KL Rahul,1,0,1,,,,
Delhi Capitals,12,T Stubbs,LS Livingstone,KL Rahul,1,0,1,,,,
Delhi Capitals,12,KL Rahul,LS Livingstone,T Stubbs,4,0,4,,,,
Delhi Capitals,12,KL Rahul,LS Livingstone,T Stubbs,6,0,6,,,,
Delhi Capitals,12,KL Rahul,LS Livingstone,T Stubbs,1,0,1,,,,
Delhi Capitals,12,T Stubbs,LS Livingstone,KL Rahul,1,0,1,,,,
Delhi Capitals,12,KL Rahul,LS Livingstone,T Stubbs,1,0,1,,,,
Delhi Capitals,13,KL Rahul,Yash Dayal,T Stubbs,1,0,1,,,,
Delhi Capitals,13,T Stubbs,Yash Dayal,KL Rahul,1,0,1,,,,
Delhi Capitals,13,KL Rahul,Yash Dayal,T Stubbs,1,0,1,,,,
Delhi Capitals,13,T Stubbs,Yash Dayal,KL Rahul,1,0,1,,,,
Delhi Capitals,13,KL Rahul,Yash Dayal,T Stubbs,0,0,0,,,,
Delhi Capitals,13,KL Rahul,Yash Dayal,T Stubbs,1,0,1,,,,
Delhi Capitals,14,KL Rahul,JR Hazlewood,T Stubbs,4,0,4,,,,
Delhi Capitals,14,KL Rahul,JR Hazlewood,T Stubbs,4,0,4,,,,
Delhi Capitals,14,KL Rahul,JR Hazlewood,T Stubbs,2,0,2,,,,
Delhi Capitals,14,KL Rahul,JR Hazlewood,T Stubbs,2,0,2,,,,
Delhi Capitals,14,KL Rahul,JR Hazlewood,T Stubbs,4,0,4,,,,
Delhi Capitals,14,KL Rahul,JR Hazlewood,T Stubbs,6,0,6,,,,
Delhi Capitals,15,T Stubbs,Suyash Sharma,KL Rahul,1,0,1,,,,
Delhi Capitals,15,KL Rahul,Suyash Sharma,T Stubbs,0,0,0,,,,
Delhi Capitals,15,KL Rahul,Suyash Sharma,T Stubbs,1,0,1,,,,
Delhi Capitals,15,T Stubbs,Suyash Sharma,KL Rahul,4,0,4,,,,
Delhi Capitals,15,T Stubbs,Suyash Sharma,KL Rahul,6,0,6,,,,
Delhi Capitals,15,T Stubbs,Suyash Sharma,KL Rahul,1,0,1,,,,
Delhi Capitals,16,T Stubbs,B Kumar,KL Rahul,1,0,1,,,,
Delhi Capitals,16,KL Rahul,B Kumar,T Stubbs,1,0,1,,,,
Delhi Capitals,16,T Stubbs,B Kumar,KL Rahul,4,0,4,,,,
Delhi Capitals,16,T Stubbs,B Kumar,KL Rahul,1,0,1,,,,
Delhi Capitals,16,KL Rahul,B Kumar,T Stubbs,1,0,1,,,,
Delhi Capitals,16,T Stubbs,B Kumar,KL Rahul,4,0,4,,,,
Delhi Capitals,17,KL Rahul,Yash Dayal,T Stubbs,1,0,1,,,,
Delhi Capitals,17,T Stubbs,Yash Dayal,KL Rahul,1,0,1,,,,
Delhi Capitals,17,KL Rahul,Yash Dayal,T Stubbs,6,0,6,,,,
Delhi Capitals,17,KL Rahul,Yash Dayal,T Stubbs,4,0,4,,,,
Delhi Capitals,17,KL Rahul,Yash Dayal,T Stubbs,0,5,5,wides,,,
Delhi Capitals,17,KL Rahul,Yash Dayal,T Stubbs,6,0,6,,,,
